title,author,dynasty,content,tags
江南,汉乐府,汉,"江南可采莲，莲叶何田田。鱼戏莲叶间。鱼戏莲叶东，鱼戏莲叶西，鱼戏莲叶南，鱼戏莲叶北。","{""写景"",""山水"",""夏天"",""荷花""}"
长歌行,汉乐府,汉,"青青园中葵，朝露待日晞。阳春布德泽，万物生光辉。常恐秋节至，焜黄华叶衰。","{""抒情"",""哲理"",""惜时"",""励志""}"
敕勒歌,北朝民歌,北朝,"敕勒川，阴山下。天似穹庐，笼盖四野。天苍苍，野茫茫，风吹草低见牛羊。","{""写景"",""山水"",""田园"",""地名""}"
咏鹅,骆宾王,唐,"鹅，鹅，鹅，曲项向天歌。白毛浮绿水，红掌拨清波。","{""咏物"",""写景"",""动物""}"
风,李峤,唐,"解落三秋叶，能开二月花。过江千尺浪，入竹万竿斜。","{""咏物"",""自然"",""哲理""}"
咏柳,贺知章,唐,"碧玉妆成一树高，万条垂下绿丝绦。不知细叶谁裁出，二月春风似剪刀。","{""咏物"",""春天"",""写景""}"
回乡偶书,贺知章,唐,"少小离家老大回，乡音无改鬓毛衰。儿童相见不相识，笑问客从何处来。","{""思乡"",""抒情"",""写人""}"
凉州词,王之涣,唐,"黄河远上白云间，一片孤城万仞山。羌笛何须怨杨柳，春风不度玉门关。","{""边塞"",""抒情"",""地名"",""黄河""}"
登鹳雀楼,王之涣,唐,"白日依山尽，黄河入海流。欲穷千里目，更上一层楼。","{""哲理"",""励志"",""写景""}"
春晓,孟浩然,唐,"春眠不觉晓，处处闻啼鸟。夜来风雨声，花落知多少。","{""春天"",""写景"",""抒情""}"
凉州词,王翰,唐,"葡萄美酒夜光杯，欲饮琵琶马上催。醉卧沙场君莫笑，古来征战几人回？","{""边塞"",""战争"",""豪放""}"
出塞,王昌龄,唐,"秦时明月汉时关，万里长征人未还。但使龙城飞将在，不教胡马度阴山。","{""边塞"",""战争"",""爱国""}"
芙蓉楼送辛渐,王昌龄,唐,"寒雨连江夜入吴，平明送客楚山孤。洛阳亲友如相问，一片冰心在玉壶。","{""送别"",""友情"",""抒情""}"
鹿柴,王维,唐,"空山不见人，但闻人语响。返景入深林，复照青苔上。","{""写景"",""山水"",""哲理""}"
送元二使安西,王维,唐,"渭城朝雨浥轻尘，客舍青青柳色新。劝君更尽一杯酒，西出阳关无故人。","{""送别"",""友情"",""离别""}"
九月九日忆山东兄弟,王维,唐,"独在异乡为异客，每逢佳节倍思亲。遥知兄弟登高处，遍插茱萸少一人。","{""思乡"",""节日"",""重阳""}"
静夜思,李白,唐,"床前明月光，疑是地上霜。举头望明月，低头思故乡。","{""思乡"",""月亮"",""抒情""}"
古朗月行,李白,唐,"小时不识月，呼作白玉盘。又疑瑶台镜，飞在青云端。仙人垂两足，桂树何团团。白兔捣药成，问言与谁餐。","{""月亮"",""神话"",""抒情""}"
望庐山瀑布,李白,唐,"日照香炉生紫烟，遥看瀑布挂前川。飞流直下三千尺，疑是银河落九天。","{""写景"",""山水"",""豪放""}"
赠汪伦,李白,唐,"李白乘舟将欲行，忽闻岸上踏歌声。桃花潭水深千尺，不及汪伦送我情。","{""友情"",""送别"",""抒情""}"
黄鹤楼送孟浩然之广陵,李白,唐,"故人西辞黄鹤楼，烟花三月下扬州。孤帆远影碧空尽，唯见长江天际流。","{""送别"",""友情"",""写景""}"
早发白帝城,李白,唐,"朝辞白帝彩云间，千里江陵一日还。两岸猿声啼不住，轻舟已过万重山。","{""写景"",""山水"",""抒情""}"
望天门山,李白,唐,"天门中断楚江开，碧水东流至此回。两岸青山相对出，孤帆一片日边来。","{""写景"",""山水"",""豪放""}"
别董大,高适,唐,"千里黄云白日曛，北风吹雁雪纷纷。莫愁前路无知己，天下谁人不识君？","{""送别"",""友情"",""励志""}"
绝句,杜甫,唐,"两个黄鹂鸣翠柳，一行白鹭上青天。窗含西岭千秋雪，门泊东吴万里船。","{""写景"",""春天"",""山水""}"
春夜喜雨,杜甫,唐,"好雨知时节，当春乃发生。随风潜入夜，润物细无声。野径云俱黑，江船火独明。晓看红湿处，花重锦官城。","{""春天"",""写景"",""抒情""}"
绝句,杜甫,唐,"迟日江山丽，春风花草香。泥融飞燕子，沙暖睡鸳鸯。","{""春天"",""写景"",""田园""}"
